time, bids, asks, maxclose, minclose, uppertarget, lowertarget
1096243200, 1.2299, 1.2303, 1.2429, 1.2285, 1.024473534433708, -0.1463533620619582
1096329600, 1.2325, 1.2329, 1.2429, 1.2285, 0.8113590263691871, -0.3569979716024308
1096416000, 1.2333, 1.2337, 1.2429, 1.2283, 0.7459661071920941, -0.4378496716127521
1096502400, 1.2429, 1.2433, 1.2429, 1.2283, -0.03218279829430815, -1.206854936036698
1096588800, 1.2415, 1.2419, 1.2415, 1.2283, -0.0322190898107093, -1.095449053564241
1096848000, 1.2285, 1.2289, 1.2411, 1.2283, 0.9930809930810103, -0.04884004884004346
1096934400, 1.2312, 1.2316, 1.2411, 1.2283, 0.7716049382716101, -0.2680311890838272
1097020800, 1.2283, 1.2287, 1.2411, 1.2283, 1.009525360254025, -0.03256533420173866
1097107200, 1.2286, 1.229, 1.2411, 1.2286, 0.984860817190316, -0.03255738238645255
1097193600, 1.2411, 1.2415, 1.2469, 1.2325, 0.4350978970268368, -0.7251631617113946
1097452800, 1.2384, 1.2388, 1.2491, 1.2325, 0.8317183462532281, -0.5087209302325559
1097539200, 1.2325, 1.2329, 1.2515, 1.2325, 1.509127789046667, -0.03245436105476316
1097625600, 1.2338, 1.2342, 1.2582, 1.2338, 1.945209920570597, -0.03242016534283967
1097712000, 1.2382, 1.2386, 1.2612, 1.2382, 1.825230172831544, -0.03230495881117396
1097798400, 1.2469, 1.2473, 1.2683, 1.2469, 1.684176758360727, -0.0320795573021057
1098057600, 1.2491, 1.2495, 1.2805, 1.2491, 2.481786886558334, -0.03202305660074902
1098144000, 1.2515, 1.2519, 1.2805, 1.2515, 2.285257690771071, -0.03196164602476675
1098230400, 1.2582, 1.2586, 1.2805, 1.2582, 1.740581783500241, -0.03179144810045748
1098316800, 1.2612, 1.2616, 1.2805, 1.2612, 1.498572787821116, -0.03171582619726894
1098403200, 1.2683, 1.2687, 1.2805, 1.2683, 0.9303792478120344, -0.03153827958684506
